company,review,language,type
Amazon,"Sueldo no competitivo
Pocas oportunidades de crecimiento",pt,Con
Amazon,"Buen Sueldo, prestaciones y cultura laboral.",es,Pro
Amazon,"No hay un horario, por lo que depende de terminar tu trabajo/ resolver situaciones al momento que emergen (ya sea durante la noche o fines de semana).",es,Con
Amazon,Es bueno el sueldo pero trabajas mucho,es,Pro
Amazon,trabajas bastante y la experiencia es buena,es,Con
Amazon,Tienes libertad de Tomar decisones,es,Pro
Amazon,Tienes que resolver los problemas,es,Con
Amazon,Experiencia y acciones es muy valioso en Amazon,es,Pro
Amazon,"La cultura es muy peculiar, si te adaptas creces si no te costará mucho,",es,Con
Amazon,"Excelente oportunidad de crecimiento, dinamico, divertido",es,Pro
Amazon,"Falta de empatía 
Trabajo un poco pesado",es,Con
Amazon,"Horario fijo, trabajo cómodo. Siempre buscan tu bienestar y seguridad.buenas prestaciones.",es,Pro
Amazon,"No puedes usar celular, estás incomunicado durante tu jornada. No puedes salir a comer a los tacos de la esquina. Los contratos son cortos.",es,Con
Amazon,"Tiene grandes prestaciones, Fondo de ahorro, aparte de las vacaciones de ley, dan 6 días adicionales al año, Hay seguro de gastos médicos mayores. Los líderes son respetuosos con los asuntos personales. Es el lugar más humano en el que he estado.",es,Pro
Amazon,"La carga de trabajo es muchísima, y cada día está peor. Su cultura de liderazgo es de frugalidad, y los premios se dan mientras más reducido sea el equipo para lidiar con la carga. El salario no se ha aumentado en más de dos años. No hay crecimiento laboral.",es,Con
Amazon,Hay buena cultura laboral y apoyo por parte de los managers,es,Pro
Amazon,Bastante alineado a los KPIs para obtener metas,es,Con
Amazon,"Buenas prestaciones, buen ambiente y buen sueldo",es,Pro
Amazon,Carga de trabajo excesiva en temporad alta,es,Con
Amazon,Todo bien en la empresa,es,Pro
Amazon,Turnos de 12 horas muy largos,es,Con
Amazon,"Una empresa con un salario extremadamente competitivo, trabajo en el que aprendes demasiado, prestaciones increíbles y el ambiente laboral es bastante bello.
La gente dice que ""SobreExplotan"". Es una total mentira. Lo que sucede es que las horas que estan enfrente de la computadora sí las trabajos por completo, no es como esos otros empleos que de tus 8 horas, trabajas 3 y las demás puedes hacer cualquier otra cosa.",es,Pro
Amazon,"No es como tal una desventaja, pero ningun ticket o task que te dejen sabras que hacer, siempre es algo nuevo y te toca aprender.

En enero se regresa a presencial 5 días a la semana :c",es,Con
Amazon,Lugar que aprenderás cómo en ningún otro,es,Pro
Amazon,Balance vida trabajo es complicado,es,Con
Amazon,Tienen oportunidad de crecimiento laboral.,es,Pro
Amazon,Una de las desventajas del empleo fue el sueldo.,es,Con
Amazon,"Buen sueldo y prestaciones, mucho aprendizaje",es,Pro
Amazon,Mucha ambigüedad en las tareas a realizar,es,Con
Amazon,Aprendizaje constante en la plataforma,es,Pro
Amazon,Poco crecimiento en la plataforma,es,Con
Amazon,"Excelente ambiente laboral, prestaciones muy buenas y buen liderazgo por parte de los lideres.",es,Pro
Amazon,12 horas de trabajo y salario bajo,es,Con
Amazon,"Prestaciones, acciones, cultura, salario y actividades",es,Pro
Amazon,Opciones de crecimiento y liderazgo,es,Con
Amazon,Buenas prestaciones como el tiempo libre,es,Pro
Amazon,"El sueldo mensual base es poco, comparado con otras empresas de nuevo león",es,Con
Amazon,Plan de Carrera y salario competitivo,es,Pro
Amazon,Regreso presencial a la oficina y no hay comedor,es,Con
Amazon,Mucho aprendizaje y grandes prestaciones,es,Pro
Amazon,Misma carga de trabajo que un empleado de tiempo completo,es,Con
Amazon,Es muy buena empresa buen sueldo,es,Pro
Amazon,El regreso a oficinasn5ndiaa a la semana,es,Con
Amazon,"Beneficios, oficina, mecanismos bien establecidos",es,Pro
Amazon,"Work life balance, burocracia, carga",en,Con
Microsoft,"Pagan bien, tienen flexibilidad para trabajar remoto y muy buenas prestaciones. Es muy bueno",es,Pro
Microsoft,Comparadas a otras empresas internacionales se queda un poco atrás en salario. Pero sigue siendo muy bueno,es,Con
Microsoft,Tiene muchas prestaciones mayores a las de la ley.,es,Pro
Microsoft,Muy demandante y con una amplia curva de aprendizaje.,es,Con
Microsoft,Muy divertido si te interesa la industria de tech,it,Pro
Microsoft,"Algunos equipos todavía no saben cómo colaborar entre ellos, lo cual puede llevar a discusiones innecesarias",es,Con
Microsoft,"Prestaciones, flexibilidad, vales, descuento en productos Microsoft, Remoto.",es,Pro
Microsoft,"Ambiente muy volatil, los objetivos pueden cambiar de un día para otro dependiendo del enfoque que está haciendo la empresa, actualmente en IA.",es,Con
Microsoft,"Excelente sueldo y prestaciones, gran ambiente laboral.",es,Pro
Microsoft,Dificultad de obtener contrato definitivo,es,Con
Microsoft,"buenas prestaciones,
buen ambiente laboral",es,Pro
Microsoft,no he tenido algun tema,es,Con
Microsoft,"Buen sueldo y prestaciones, especialmente ptu",es,Pro
Microsoft,"Mal trato, amenzas de escalacion en todo momento y carga muy alta de trabajo",es,Con
Microsoft,Excelente para trabajar. Es muy retador con mucho crecimiento,es,Pro
Microsoft,Muy político para poder crecer,es,Con
Microsoft,era bueno el sueldo base,es,Pro
Microsoft,mal horario de trabajo ajo,es,Con
Microsoft,10/10 Excelente  trabajo  muy buena empresa para trabajar y desarrollar habilidades,es,Pro
Microsoft,"Ninguna desventaja, la empresa tiene bastantes buenas oportunidades de crecimiento",es,Con
Microsoft,Depende de tu equipo es como te va,es,Pro
Microsoft,"Limitan tu crecimiento a que te promovieron hace 1 año, ambiente toxico en el centro de servicios",es,Con
Microsoft,"Homme Office, flexibilidad de horario.",es,Pro
Microsoft,Manejo entre calidad de vida y trabajo,es,Con
Microsoft,"Buen sueldo, balance de vida y trabajo, flexibilidad de espacio de trabajo",es,Pro
